iter	Passed	Remaining
0	74	73937
1	91	45417
2	108	35922
3	124	31122
4	142	28262
5	161	26686
6	177	25220
7	195	24222
8	212	23363
9	229	22707
10	247	22271
11	264	21803
12	281	21357
13	297	20985
14	313	20615
15	330	20344
16	347	20086
17	362	19778
18	380	19635
19	395	19397
20	414	19314
21	429	19080
22	443	18829
23	458	18657
24	474	18501
25	489	18341
26	505	18227
27	521	18094
28	537	17993
29	552	17870
30	566	17710
31	581	17576
32	707	20728
33	729	20731
34	755	20826
35	775	20767
36	815	21218
37	856	21688
38	931	22946
39	1027	24662
40	1067	24967
41	1095	24976
42	1117	24872
43	1137	24719
44	1156	24535
45	1176	24390
46	1194	24215
47	1212	24055
48	1234	23950
49	1253	23815
50	1279	23817
51	1306	23824
52	1337	23900
53	1372	24041
54	1405	24152
55	1437	24225
56	1465	24237
57	1493	24258
58	1517	24207
59	1539	24113
60	1561	24040
61	1584	23967
62	1608	23927
63	1635	23916
64	1660	23887
65	1683	23826
66	1714	23875
67	1736	23801
68	1759	23742
69	1780	23650
70	1838	24056
71	1884	24289
72	1919	24372
73	1948	24387
74	1987	24506
75	2013	24474
76	2060	24694
77	2125	25127
78	2290	26703
79	2339	26905
80	2375	26954
81	2411	27000
82	2453	27110
83	2489	27144
84	2513	27055
85	2531	26900
86	2709	28431
87	2759	28602
88	2854	29223
89	2899	29312
90	2924	29215
91	2945	29066
92	2962	28889
93	2979	28717
94	3005	28629
95	3024	28484
96	3049	28392
97	3078	28332
98	3103	28241
99	3116	28052
100	3130	27868
101	3145	27692
102	3159	27512
103	3172	27335
104	3187	27165
105	3200	26989
106	3212	26812
107	3225	26643
108	3239	26479
109	3253	26320
110	3267	26168
111	3282	26022
112	3295	25868
113	3309	25723
114	3323	25579
115	3382	25780
116	3417	25795
117	3441	25723
118	3462	25634
119	3476	25495
120	3490	25357
121	3505	25228
122	3519	25091
123	3532	24955
124	3545	24820
125	3558	24683
126	3572	24554
127	3584	24422
128	3597	24292
129	3613	24183
130	3626	24059
131	3640	23937
132	3654	23824
133	3668	23706
134	3682	23594
135	3696	23482
136	3710	23371
137	3724	23261
138	3737	23151
139	3750	23039
140	3764	22932
141	3778	22828
142	3791	22721
143	3805	22619
144	3818	22516
145	3832	22417
146	3845	22314
147	3860	22224
148	3873	22125
149	3887	22029
150	3901	21938
151	3915	21841
152	3927	21745
153	3942	21655
154	3955	21565
155	3971	21485
156	3987	21409
157	4001	21325
158	4016	21243
159	4030	21159
160	4044	21074
161	4056	20983
162	4069	20896
163	4082	20811
164	4095	20725
165	4109	20646
166	4122	20562
167	4136	20485
168	4150	20406
169	4163	20327
170	4177	20250
171	4190	20171
172	4203	20092
173	4216	20016
174	4229	19939
175	4242	19864
176	4256	19790
177	4269	19715
178	4287	19666
179	4302	19598
180	4314	19524
181	4328	19452
182	4341	19382
183	4357	19325
184	4372	19262
185	4386	19195
186	4400	19129
187	4413	19062
188	4427	18998
189	4441	18932
190	4454	18868
191	4468	18805
192	4481	18737
193	4495	18677
194	4509	18615
195	4523	18554
196	4537	18494
197	4550	18431
198	4563	18369
199	4577	18308
200	4590	18248
201	4604	18190
202	4618	18133
203	4632	18073
204	4646	18018
205	4659	17958
206	4672	17899
207	4686	17844
208	4699	17784
209	4712	17727
210	4725	17671
211	4739	17615
212	4752	17560
213	4766	17506
214	4781	17458
215	4802	17430
216	4815	17375
217	4828	17319
218	4841	17266
219	4856	17218
220	4870	17168
221	4883	17115
222	4897	17063
223	4911	17013
224	4924	16962
225	4938	16912
226	4952	16863
227	4966	16816
228	4979	16766
229	4994	16719
230	5008	16673
231	5023	16628
232	5037	16582
233	5056	16554
234	5072	16514
235	5086	16466
236	5112	16458
237	5133	16437
238	5151	16404
239	5167	16365
240	5181	16318
241	5200	16289
242	5215	16246
243	5231	16208
244	5244	16160
245	5262	16129
246	5277	16088
247	5290	16042
248	5306	16003
249	5321	15965
250	5341	15939
251	5364	15924
252	5380	15885
253	5399	15857
254	5415	15821
255	5431	15784
256	5445	15743
257	5463	15713
258	5478	15673
259	5492	15632
260	5508	15597
261	5525	15564
262	5540	15525
263	5555	15489
264	5570	15449
265	5585	15411
266	5602	15379
267	5616	15341
268	5631	15304
269	5645	15264
270	5665	15239
271	5678	15197
272	5692	15158
273	5711	15134
274	5728	15102
275	5742	15063
276	5759	15032
277	5777	15005
278	5802	14994
279	5823	14974
280	5837	14937
281	5854	14905
282	5869	14869
283	5883	14832
284	5896	14793
285	5909	14753
286	5926	14722
287	5941	14688
288	5956	14653
289	5970	14617
290	5985	14583
291	6004	14557
292	6018	14522
293	6031	14484
294	6045	14446
295	6061	14417
296	6076	14382
297	6090	14346
298	6103	14309
299	6118	14276
300	6134	14245
301	6149	14213
302	6163	14177
303	6176	14140
304	6189	14104
305	6203	14068
306	6216	14033
307	6230	13997
308	6242	13960
309	6255	13924
310	6269	13889
311	6283	13855
312	6296	13819
313	6309	13784
314	6323	13751
315	6339	13723
316	6354	13691
317	6368	13657
318	6381	13623
319	6395	13590
320	6408	13555
321	6422	13522
322	6436	13489
323	6448	13454
324	6462	13422
325	6476	13389
326	6490	13357
327	6503	13324
328	6517	13292
329	6530	13259
330	6544	13227
331	6557	13194
332	6570	13161
333	6585	13131
334	6599	13100
335	6612	13068
336	6626	13037
337	6639	13004
338	6653	12973
339	6673	12953
340	6686	12921
341	6699	12889
342	6712	12858
343	6725	12825
344	6738	12793
345	6753	12764
346	6766	12734
347	6780	12704
348	6795	12675
349	6817	12661
350	6831	12630
351	6845	12601
352	6858	12571
353	6872	12541
354	6886	12511
355	6899	12481
356	6912	12450
357	6926	12420
358	6939	12390
359	6953	12361
360	6966	12331
361	6979	12300
362	6992	12271
363	7006	12242
364	7020	12213
365	7033	12182
366	7045	12152
367	7059	12124
368	7073	12095
369	7086	12065
370	7099	12037
371	7113	12008
372	7126	11979
373	7140	11951
374	7153	11922
375	7167	11895
376	7182	11868
377	7195	11840
378	7208	11811
379	7221	11782
380	7234	11754
381	7248	11726
382	7262	11699
383	7275	11670
384	7289	11643
385	7302	11615
386	7315	11587
387	7331	11563
388	7346	11538
389	7359	11511
390	7372	11483
391	7387	11457
392	7401	11431
393	7414	11404
394	7427	11376
395	7440	11349
396	7453	11321
397	7467	11294
398	7481	11268
399	7494	11242
400	7508	11215
401	7521	11188
402	7535	11162
403	7548	11135
404	7562	11110
405	7575	11083
406	7589	11058
407	7602	11031
408	7615	11004
409	7628	10978
410	7642	10952
411	7655	10926
412	7669	10900
413	7682	10873
414	7695	10847
415	7709	10822
416	7722	10796
417	7735	10771
418	7749	10746
419	7763	10720
420	7776	10695
421	7790	10670
422	7804	10646
423	7817	10620
424	7830	10594
425	7844	10570
426	7857	10544
427	7871	10519
428	7885	10496
429	7899	10472
430	7913	10446
431	7926	10421
432	7939	10397
433	7952	10371
434	7966	10347
435	7980	10323
436	7992	10297
437	8006	10273
438	8020	10248
439	8033	10224
440	8046	10199
441	8059	10174
442	8072	10149
443	8086	10126
444	8099	10102
445	8113	10078
446	8126	10053
447	8141	10030
448	8154	10007
449	8167	9982
450	8181	9958
451	8195	9935
452	8208	9911
453	8221	9886
454	8235	9864
455	8248	9840
456	8261	9816
457	8274	9792
458	8288	9769
459	8301	9745
460	8314	9721
461	8332	9703
462	8346	9681
463	8360	9657
464	8373	9634
465	8387	9611
466	8400	9587
467	8413	9564
468	8426	9540
469	8440	9517
470	8454	9495
471	8468	9473
472	8482	9451
473	8495	9427
474	8508	9404
475	8521	9381
476	8534	9357
477	8549	9335
478	8562	9313
479	8576	9291
480	8589	9267
481	8602	9245
482	8615	9222
483	8629	9200
484	8643	9177
485	8655	9154
486	8668	9131
487	8681	9108
488	8694	9085
489	8707	9063
490	8720	9040
491	8734	9018
492	8748	8996
493	8761	8974
494	8775	8952
495	8788	8929
496	8801	8907
497	8814	8885
498	8828	8864
499	8841	8841
500	8854	8819
501	8867	8797
502	8880	8774
503	8893	8752
504	8907	8731
505	8921	8710
506	8934	8688
